query,intent
Where can I login?,login
I want to login to my e-Sevai account.,login
How can I access citizen login?,login
What should I use to login?,login
How do I sign in to e-Sevai?,login
I cannot find the login page.,login
Where is citizen login?,login
How can I access my e-Sevai account?,login
Tell me how to login.,login
How can I check my application status?,application_status
Where can I check my application?,application_status
How do I track my application?,application_status
I want to know my application status.,application_status
How can I track an e-Sevai application?,application_status
Where do I enter my application number?,application_status
How do I check the status of my application?,application_status
Can I track my e-Sevai application?,application_status
I want to track my application.,application_status
How can I see my application status?,application_status
How can I make a complaint?,grievances_complaints
I want to submit a grievance.,grievances_complaints
Where can I complain about e-Sevai?,grievances_complaints
How do I submit an e-Sevai complaint?,grievances_complaints
I have a problem and want to raise a complaint.,grievances_complaints
Where can I submit a grievance?,grievances_complaints
How can I report an issue with e-Sevai?,grievances_complaints
I want to register a complaint.,grievances_complaints
What is the complaint process?,grievances_complaints
How do I raise a grievance?,grievances_complaints
What is the e-Sevai helpdesk number?,helpdesk
How can I contact e-Sevai support?,helpdesk
What is the e-Sevai helpdesk email?,helpdesk
I need the e-Sevai contact number.,helpdesk
How do I contact the helpdesk?,helpdesk
What is the customer support number?,helpdesk
Give me the e-Sevai helpdesk details.,helpdesk
Where can I get e-Sevai support?,helpdesk
How can I contact e-Sevai?,helpdesk
I need helpdesk contact information.,helpdesk
